Observation #: 25722
-------------------------------------------------------------------------------------
 Time(YYYMMDD)   Depth(m) Value(celsius)  Std(%)
       20070828       8.48       17.8950     10.0
       20070828       9.49       17.8680     10.0
       20070828      11.10       17.8000     10.0
       20070828      11.30       17.7970     10.0
       20070829       2.77       17.3660     10.0
       20070829       3.14       17.3660     10.0
       20070829       3.59       17.3650     10.0
       20070829       4.58       17.3630     10.0
       20070829       5.57       17.3600     10.0
       20070829       6.51       17.3530     10.0
       20070829       7.48       17.3430     10.0
       20070829       8.48       17.3270     10.0
       20070829       9.49       17.2940     10.0
       20070829      11.10       17.1230     10.0
       20070829      11.30       17.1060     10.0
       20070830       2.77       16.9580     10.0
       20070830       3.14       16.9570     10.0
       20070830       3.59       16.9550     10.0
       20070830       4.58       16.9510     10.0
       20070830       5.57       16.9490     10.0
       20070830       6.51       16.9450     10.0
       20070830       7.48       16.9430     10.0
       20070830       8.48       16.9370     10.0
       20070830       9.49       16.9220     10.0
       20070830      11.10       16.8410     10.0
       20070830      11.30       16.8320     10.0
       20070831       2.77       16.4790     10.0
       20070831       3.14       16.4800     10.0
       20070831       3.59       16.4780     10.0
       20070831       4.58       16.4750     10.0
       20070831       5.57       16.4730     10.0
       20070831       6.51       16.4680     10.0
       20070831       7.48       16.4590     10.0
       20070831       8.48       16.4380     10.0
       20070831       9.49       16.3980     10.0
       20070831      11.10       16.2830     10.0
       20070831      11.30       16.2760     10.0
       20070901       2.77       15.9490     10.0
       20070901       3.14       15.9480     10.0
       20070901       3.59       15.9470     10.0
       20070901       4.58       15.9430     10.0
       20070901       5.57       15.9390     10.0
       20070901       6.51       15.9330     10.0
       20070901       7.48       15.9250     10.0
       20070901       8.48       15.9130     10.0
       20070901       9.49       15.8870     10.0
       20070901      11.10       15.7440     10.0
       20070901      11.30       15.7390     10.0
       20070902       2.77       15.2270     10.0
       20070902       3.14       15.2280     10.0
       20070902       3.59       15.2270     10.0
       20070902       4.58       15.2240     10.0
       20070902       5.57       15.2190     10.0
       20070902       6.51       15.2080     10.0
       20070902       7.48       15.1940     10.0
       20070902       8.48       15.1680     10.0
       20070902       9.49       15.1170     10.0
       20070902      11.10       14.9750     10.0
       20070902      11.30       14.9720     10.0
       20070903       2.77       14.8200     10.0
       20070903       3.14       14.8190     10.0
       20070903       3.59       14.8180     10.0
       20070903       4.58       14.8160     10.0
       20070903       5.57       14.8110     10.0
       20070903       6.51       14.8040     10.0
       20070903       7.48       14.7950     10.0
       20070903       8.48       14.7820     10.0
       20070903       9.49       14.7610     10.0
       20070903      11.10       14.6790     10.0
       20070903      11.30       14.6770     10.0
       20070904       2.77       14.6310     10.0
       20070904       3.14       14.6280     10.0
       20070904       3.59       14.6240     10.0
       20070904       4.58       14.6180     10.0
       20070904       5.57       14.6120     10.0
       20070904       6.51       14.6050     10.0
       20070904       7.48       14.5970     10.0
       20070904       8.48       14.5880     10.0
       20070904       9.49       14.5710     10.0
       20070904      11.10       14.5120     10.0
       20070904      11.30       14.5100     10.0
       20070905       2.77       14.5000     10.0
       20070905       3.14       14.4940     10.0
       20070905       3.59       14.4900     10.0
       20070905       4.58       14.4830     10.0
       20070905       5.57       14.4760     10.0
       20070905       6.51       14.4670     10.0
       20070905       7.48       14.4590     10.0
       20070905       8.48       14.4430     10.0
       20070905       9.49       14.4220     10.0
       20070905      11.10       14.3310     10.0
       20070905      11.30       14.3300     10.0
       20070906       2.77       14.2540     10.0
       20070906       3.14       14.2540     10.0
       20070906       3.59       14.2540     10.0
       20070906       4.58       14.2540     10.0
       20070906       5.57       14.2540     10.0
       20070906       6.51       14.2520     10.0
       20070906       7.48       14.2510     10.0
       20070906       8.48       14.2470     10.0
       20070906       9.49       14.2390     10.0
       20070906      11.10       14.1980     10.0
       20070906      11.30       14.1940     10.0
       20070907       2.77       13.8260     10.0
       20070907       3.14       13.8260     10.0
       20070907       3.59       13.8260     10.0
       20070907       4.58       13.8240     10.0
       20070907       5.57       13.8210     10.0
       20070907       6.51       13.8150     10.0
       20070907       7.48       13.8120     10.0
       20070907       8.48       13.8070     10.0
       20070907       9.49       13.8030     10.0
       20070907      11.10       13.7930     10.0
       20070907      11.30       13.7910     10.0
       20070908       2.77       13.5540     10.0
       20070908       3.14       13.5520     10.0
       20070908       3.59       13.5500     10.0
       20070908       4.58       13.5410     10.0
       20070908       5.57       13.5300     10.0
       20070908       6.51       13.5180     10.0
       20070908       7.48       13.5050     10.0
       20070908       8.48       13.4850     10.0
       20070908       9.49       13.4700     10.0
       20070908      11.10       13.4050     10.0
       20070908      11.30       13.4030     10.0
       20070909       2.77       13.2480     10.0
       20070909       3.14       13.2460     10.0
       20070909       3.59       13.2450     10.0
       20070909       4.58       13.2420     10.0
       20070909       5.57       13.2390     10.0
       20070909       6.51       13.2350     10.0
       20070909       7.48       13.2320     10.0
       20070909       8.48       13.2250     10.0
       20070909       9.49       13.2140     10.0
       20070909      11.10       13.1700     10.0
       20070909      11.30       13.1690     10.0
       20070910       2.77       13.0810     10.0
       20070910       3.14       13.0770     10.0
       20070910       3.59       13.0730     10.0
       20070910       4.58       13.0620     10.0
       20070910       5.57       13.0580     10.0
       20070910       6.51       13.0510     10.0
       20070910       7.48       13.0470     10.0
       20070910       8.48       13.0410     10.0
       20070910       9.49       13.0320     10.0
       20070910      11.10       12.9470     10.0
       20070910      11.30       12.9420     10.0
       20070911       2.77       12.9500     10.0
       20070911       3.14       12.9400     10.0
       20070911       3.59       12.9310     10.0
       20070911       4.58       12.9160     10.0
       20070911       5.57       12.9060     10.0
       20070911       6.51       12.8930     10.0
       20070911       7.48       12.8770     10.0
       20070911       8.48       12.8600     10.0
       20070911       9.49       12.8330     10.0
       20070911      11.10       12.7490     10.0
